timestamp,pH,TDS,turbidity,chlorine,hardness,microbes,flow_rate,battery
2024-01-01 00:00:00,7.2,245,0.3,1.8,120,0.05,15.2,95
2024-01-01 01:00:00,7.1,248,0.4,1.7,122,0.04,14.8,94
2024-01-01 02:00:00,7.3,242,0.2,1.9,118,0.06,16.1,93
2024-01-01 03:00:00,7.0,251,0.5,1.6,125,0.03,13.9,92
2024-01-01 04:00:00,7.4,239,0.3,2.0,115,0.07,15.7,91
2024-01-01 05:00:00,7.2,246,0.4,1.8,121,0.05,14.5,90
2024-01-01 06:00:00,7.1,249,0.6,1.7,123,0.04,13.2,89
2024-01-01 07:00:00,7.3,243,0.3,1.9,119,0.06,16.8,88
2024-01-01 08:00:00,7.0,252,0.7,1.6,126,0.03,12.9,87
2024-01-01 09:00:00,7.4,238,0.2,2.1,114,0.08,17.3,86
